Console,GameName,Review,Score,Score_Category
PC,Baldur's Gate 3 Early Access Review,early access,6,Medium
NS,Control: Ultimate Edition Cloud Version Review,good,7,Medium
"XONE, PC, PS4",Doom Eternal: The Ancient Gods Part 1 Review,good,7,Medium
"XONE, PC, PS4",Watch Dogs: Legion Review,great,8,High
PC,Ring Of Pain Review,great,8,High
NS,Pikmin 3 Deluxe Review,great,8,High
"PC, XONE, PS4",Ghostrunner Review,good,7,Medium
"PC, NS",Disc Room Review – Getting Buzzed,great,8,High
"XONE, PS4",NHL 21 Review,superb,9,High
PC,Noita Review,good,7,Medium
PC,Amnesia: Rebirth Review,great,8,High
"PC, PS4",Genshin Impact Review – Direct Hit,good,7,Medium
"PC, XONE, PS4, NS",Ikenfell Review,fair,6,Medium
NS,Ring Fit Adventure Review: One Year Later,superb,9,High
"XONE, PC, PS4",Star Wars: Squadrons Review – Catch Me If You Can,good,7,Medium
"NS, NS",Mario Kart Live: Home Circuit Review – Making Tracks,good,7,Medium
PC,I Am Dead Review – Staying Alive,good,7,Medium
PS4,FIFA 21 Review – A Goal Bonanza,great,8,High
NS,Super Mario Bros. 35 Review – Mario Royale,good,7,Medium
PC,The Solitaire Conspiracy Review – Jack Of All Trades,good,7,Medium
"XONE, PS4",Crash Bandicoot 4 Review – Platformer's Delight,great,8,High
NS,Kirby Fighters 2 Review – 2 Kirby 2 Furious,fair,6,Medium
PC,Pendragon Review – Endless Legends,fair,6,Medium
PC,Serious Sam 4 Review – The Fourth Encounter,good,7,Medium
PS4,NBA 2K21 Review – Ball Another Day,fair,6,Medium
PC,Crusader Kings 3 Review – Pass the Duchy,great,8,High
PS4,Spelunky 2 Review –  Snakes On A 2D Plane,great,8,High
PC,Mafia: Definitive Edition Review – An Offer You Could Probably Refuse,fair,6,Medium
PC,Surgeon Simulator 2 Review – Surgical Imprecision,fair,6,Medium
"PC, NS","Hades Review – The Long, Hard Road Out of Hell",superb,9,High
PS4,"13 Sentinels: Aegis Rim Review – Wow, Cool Robot!",superb,9,High
NS,Super Mario 3D All-Stars Review – Shoot For The Stars,great,8,High
PC,Road To Guangdong Review – Are We There Yet?,terrible,2,Very Low
"PC, PS4, XONE, NS",Vampire: The Masquerade - Shadows Of New York Review,fair,6,Medium
PS4,"Othercide Review – Mother, May I",great,8,High
PC,Marvel's Avengers Review – Infinity War,good,7,Medium
"XONE, PC",Tell Me Why Review,good,7,Medium
NS,Moon Review – The Bright Side,great,8,High
PC,Star Renegades Review – The Heat Of The Moment,great,8,High
NS,The Last Campfire Review – One Step At A Time,great,8,High
"PS4, XONE",Tony Hawk's Pro Skater 1 + 2 Review – I'm A Superman,superb,9,High
"PC, NS",Paradise Killer Review,superb,9,High
"PC, PS4, NS",Evergate Review – Ever Great,great,8,High
PS4,Madden 21 Review – Feels More Like An Update,fair,6,Medium
"PC, NS",A Short Hike Review,superb,9,High
"PS4, PC, XONE",Project Cars 3 Review – Into The Horizon,good,7,Medium
PC,Control AWE DLC Review – Haunted Oldest House,fair,6,Medium
PS4,Windbound Review – Against The Wind,mediocre,5,Low
PC,Thousand Threads Review -- Post Secrets,mediocre,5,Low
PC,Spiritfarer Review – Purrrgatory,superb,9,High
"PC, NS",No Straight Roads Review – Bangers And Smash,good,7,Medium
PC,Microsoft Flight Simulator Review – Max Altitude,superb,9,High
IOS,Next Stop Nowhere Review – Bugs On The Windshield,bad,3,Very Low
PS4,PGA Tour 2K21 Review – For Purists And Newcomers Alike,great,8,High
PC,Dead By Daylight Review (2020) – Toying With Terror,superb,9,High
PC,Mortal Shell Review – Stone Souls,great,8,High
PC,Skater XL Review – Too Little To Skate,mediocre,5,Low
PC,Battletoads Review – Middle-Aged Cartoon Alien Toads,fair,6,Medium
"PC, XONE",Hyper Scape Review – 'Scape From The City,fair,6,Medium
PC,A Total War Saga: Troy Review - My Kingdom For A Centaur,good,7,Medium
PC,Risk Of Rain 2 Review,great,8,High
"PC, PS4",Fall Guys: Ultimate Knockout Review - Major Chaos,good,7,Medium
PC,Skully Review,mediocre,5,Low
PC,Umurangi Generation Review - Cyberpunk Snap,superb,9,High
PC,Littlewood Review - Big Heart,great,8,High
PS4,Horizon Zero Dawn Review,superb,9,High
"XONE, PC",Grounded Early Access Review - Little Acorns,early access,6,Medium
PC,Desperados 3 Review - Revolvers And Redos,superb,9,High
PC,Rock Of Ages 3: Make & Break Review - Let's Roll,good,7,Medium
"PC, IOS",Beyond A Steel Sky Review - Foster The Future,mediocre,5,Low
NS,Panzer Paladin Review,great,8,High
XONE,Maid Of Sker Review - Backtracking Trip,poor,4,Low
XONE,"Destroy All Humans Review - Two Arms, Two Legs, And An Attitude",fair,6,Medium
"PC, XONE, NS",Carrion Review,good,7,Medium
PC,Necrobarista Review,good,7,Medium
"XONE, PC",Ooblets Early Access Review,early access,7,Medium
PC,Fight Crab Review - Battle Of The Bisque,fair,6,Medium
PC,Rocket Arena Review,fair,6,Medium
"PC, PS4, NS, XONE",Superliminal Review - We Need To Go Deeper,great,8,High
NS,Paper Mario: The Origami King Review,great,8,High
NS,Bloodstained: Curse Of The Moon 2 Review,great,8,High
PS4,Ghost Of Tsushima Review - You Khan Do It,good,7,Medium
NS,Story Of Seasons: Friends Of Mineral Town Review - When The Seasons Change,mediocre,5,Low
PS4,Superhot: Mind Control Delete Review - Hack 'N Slash,good,7,Medium
PS4,Death Stranding Review,superb,9,High
PS4,CrossCode Review - A Lot Of Ambition,fair,6,Medium
NS,Deadly Premonition 2: A Blessing In Disguise Review,mediocre,5,Low
PS4,Marvel's Iron Man VR Review - Hot Hands,fair,6,Medium
NS,Ninjala Review - Gum Up The Works,fair,6,Medium
NS,Mr. Driller Drill Land Review,great,8,High
PC,West Of Dead Review - Rogue-lite Cowboy,mediocre,5,Low
NS,Pokemon Sword And Shield Isle Of Armor DLC Review,great,8,High
IOS,Slay The Spire Review - Trend Setter,superb,9,High
NS,Death Come True Review - Hotel Hell,fair,6,Medium
PC,Crucible Review,mediocre,5,Low
PS4,The Last Of Us Part 2 Spoiler Review - Dog Eat Dog,great,8,High
PS4,The Last Of Us Part 2 Spoiler-Free Review,great,8,High
PS4,SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated Review - Expired Nostalgia,terrible,2,Very Low
PC,Valorant Review - A Valiant Effort,good,7,Medium
PS4,Skelattack Review - Bone-Dry,mediocre,5,Low
PS4,Project Warlock Review - Wizard's First Doom,fair,6,Medium
PC,Disintegration Review - First-Person Strategy,good,7,Medium
NS,XCOM 2 Collection For Nintendo Switch Review - Close Encounters of the Bugged Kind,fair,6,Medium
NS,The Outer Worlds For Nintendo Switch Review - Cosmic Haze,fair,6,Medium
NS,Liberated Review,poor,4,Low
PC,Resolutiion Review - Do The Right Thing,fair,6,Medium
PC,Those Who Remain Review - Little Staying Power,bad,3,Very Low
PC,Sea Of Thieves Review (2020) - A Voyage Finally Worth Taking,great,8,High
NS,Xenoblade Chronicles: Definitive Edition Review,superb,9,High
XONE,"Minecraft Dungeons Review - Mobsters, Inc.",good,7,Medium
PS4,"Maneater Review - Fish Are Food, Not Friends",good,7,Medium
PS4,Mortal Kombat 11: Aftermath Review - Friendship Never Ends,good,7,Medium
PC,If Found Review - Call Me By My Name,superb,9,High
NS,What The Golf Switch Review - A Swing And A Hit,superb,9,High
"PC, IOS",What The Golf Review,great,8,High
NS,The Wonderful 101 Remastered Review - Mob Mentality,poor,4,Low
WIIU,The Wonderful 101 Review,great,8,High
NS,Hatsune Miku: Project DIVA MegaMix Review - One More Time,great,8,High
PC,Rainbow Six Siege Review (2020) - Breaches And Cream,essential,1,Very Low
PC,Legends Of Runeterra Review - Much Ado About Nautilus,superb,9,High
PS4,Predator: Hunting Grounds Review - Muddied Up,poor,4,Low
PS4,Sakura Wars Review,good,7,Medium
PC,XCOM: Chimera Squad Review,great,8,High
PC,Cloudpunk Review - Time To Fly,good,7,Medium
PS4,Streets Of Rage 4 Review - The Beat-'Em-Up Boys Are Back In Town,great,8,High
"XONE, PC, PS4",Rainbow Six Siege Review (2015),great,8,High
PC,"Gears Tactics Review - Plan The Work, Work The Plan",great,8,High
PC,Fallout 76: Wastelanders Review - A Disappointing Return,mediocre,5,Low
NS,Trials Of Mana Review - Trial And Error,fair,6,Medium
NS,Treachery In Beatdown City Review,great,8,High
PC,In Other Waters Review,superb,9,High
XONE,Bleeding Edge Review - Underwatch,fair,6,Medium
PS4,Final Fantasy 7 Remake Review - First Class,essential,1,Very Low
NS,Animal Crossing: New Horizons Review - Island Getaway,superb,9,High
PS4,Persona 5 Royal Review - Hearts Of Gold,essential,1,Very Low
PS4,"Resident Evil 3 Remake Review - Farewell, Raccoon City",fair,6,Medium
NS,Good Job Review - Office Space,good,7,Medium
PC,Corruption 2029 Review,fair,6,Medium
PS4,MLB The Show 20 Review,great,8,High
"PC, PS4, XONE",Call Of Duty Warzone Review,good,7,Medium
PC,Half-Life: Alyx Review - Catch These Hands,superb,9,High
"PC, NS, XONE, PS4",Doom Eternal Review - Intelligent Inferno,great,8,High
PS4,Nioh 2 Review,great,8,High
XONE,Ori And The Will Of The Wisps Review,great,8,High
PC,Mindseize Review - Familiar Territory,fair,6,Medium
"LNX, MAC, AND, PC",Dota Underlords Review,superb,9,High
NS,Pokemon Mystery Dungeon: Rescue Team DX Review,great,8,High
PC,Wolcen: Lords Of Mayhem Review,poor,4,Low
PS4,Bloodroots Review,great,8,High
NS,Snack World Review,poor,4,Low
PS4,Dreams Review,superb,9,High
PS4,Granblue Fantasy Versus Review - Fighting Fantasy,good,7,Medium
PC,The Pedestrian Review - Walk Before You Run,good,7,Medium
PC,Through The Darkest Of Times Review - Enemy Inside The Gates,great,8,High
NS,Kunai Review - Throwing Knives,good,7,Medium
NS,Kentucky Route Zero Review - Where The Streets Have No Name,superb,9,High
PS4,Kingdom Hearts 3 Re:Mind Review - Don't Remind Me,poor,4,Low
PC,Lenna's Inception Review - Press Start,good,7,Medium
"PC, PS4",Journey To The Savage Planet Review - A Pulpy Sci-Fi Romp,good,7,Medium
PC,Frostpunk: The Last Autumn Review - Calm Before The Storm,great,8,High
"XONE, PS4",Dragon Ball Z: Kakarot Review - Mondo Cool,good,7,Medium
PC,Unity Of Command 2 Review - Lifetime Supply,great,8,High
"PC, NS, IOS",Overland Review - Road Trip From Hell,great,8,High
"PS4, PC, XONE",Ace Combat 7: Skies Unknown Review - Head In The Clouds,great,8,High
"PS4, XONE, PC",The Outer Worlds Review - Over The Moon,superb,9,High
"PC, PS4, XONE",Draugen Review - Mystery Loves Company,good,7,Medium
PS4,Wattam Review - Forever Wondering,good,7,Medium
PC,Supermash Review - Flop Jam,bad,3,Very Low
NS,The Touryst Review - Life's A Beach,great,8,High
PC,Phoenix Point Review - The Life Aquatic,great,8,High
PC,Darksiders: Genesis Review - Lucy And The Horsemen,good,7,Medium
PC,Shovel Knight: King Of Cards Review - Royal Refinement,great,8,High
"PS4, PC, XONE",Life Is Strange 2: Episode 5 Review - Beyond Good Or Evil,great,8,High
PS4,Audica Review - Electronic Gun Music,fair,6,Medium
PS4,Shenmue 3 Review - From A Forgotten Time,mediocre,5,Low
PC,Blacksad: Under The Skin Review - Dog Days,mediocre,5,Low
PC,Planet Zoo Review - Spreadsheet Safari,good,7,Medium
NS,Sparklite Review - Shine A Light,fair,6,Medium
"PS4, PS4",Star Wars Jedi: Fallen Order Review - A Good Feeling About This,great,8,High
NS,Pokemon Sword & Shield Review - Curry Favor,superb,9,High
NS,Layton's Mystery Journey: Katrielle And The Millionaire's Conspiracy Review - Merry Old England,good,7,Medium
PS4,Need For Speed Heat Review - Getting Warmer,good,7,Medium
NS,Mario & Sonic At The Olympic Games Tokyo 2020 Review - Gotta Go Fast,good,7,Medium
"PC, PS4",Call Of Duty: Modern Warfare Review - Stay Frosty (Again),good,7,Medium
"PS4, XONE",Red Dead Redemption 2 Review - Wild Wild West,superb,9,High
"AND, IOS",Call Of Duty Mobile Review - Boots On The Go,great,8,High
PC,Disco Elysium Review - Pure Dynamite,essential,1,Very Low
PC,"Afterparty Review - Drink, Die, Repeat",good,7,Medium
NS,Luigi's Mansion 3 Review - Mario Is Missing,great,8,High
PS4,WWE 2K20 Review: Botchamania,terrible,2,Very Low
PS4,"Super Monkey Ball Banana Blitz HD Review - All Monkey, No Magic",mediocre,5,Low
"PC, IOS",Manifold Garden Review - Stairways To Puzzle Heaven,superb,9,High
PS4,MediEvil Review - Bones 'n Brawn,mediocre,5,Low
NS,Felix The Reaper Review - Footloose,mediocre,5,Low
NS,Little Town Hero Review - Brat Country,mediocre,5,Low
NS,The Witcher 3 Nintendo Switch Review - The Last Wish,superb,9,High
NS,Killer Queen Black Review - 'Cause I'm Having a Good Time,great,8,High
"PC, XONE, PS4",Ghost Recon Breakpoint Review - Faulty Reconaissance,poor,4,Low
PC,John Wick Hex Review - Tick Tock Wick,great,8,High
PS4,Concrete Genie Review - Rubs Me The Right Way,good,7,Medium
PC,Indivisible Review - Moving Mountains,good,7,Medium
"PC, NS, IOS",Neo Cab Review - Taxi Cab Confessions,good,7,Medium
"PC, PS4, PS4",Destiny 2 Shadowkeep Review - Moon's Haunted,great,8,High
NS,Yooka-Laylee And The Impossible Lair Review - Uninvited Nostalgia,fair,6,Medium
NS,Sayonara Wild Hearts Review - Falling Star,fair,6,Medium
"PC, PS4",Code Vein Review - There Will Be Blood,fair,6,Medium
"PC, NS",Untitled Goose Game Review - Saved By The Bell,great,8,High
PC,The Surge 2 Review - Out On A Limb,great,8,High
"IOS, PC, NS",80 Days Review - A Man And His Fogg,great,8,High
PS4,FIFA 20 Review - Premier League,great,8,High
"NS, PS4",Dragon Quest XI Review - Nintendo Switch Definitive Edition Update,superb,9,High
PC,Blasphemous Review - Darker Souls,good,7,Medium
PC,Greedfall Review - Lost In Another World,mediocre,5,Low
XONE,NHL 20 Review - Smashed,superb,9,High
NS,The Legend Of Zelda: Link’s Awakening Review - A Respectable Remake,great,8,High
PS4,No Man's Sky Beyond Review - Reach For The Stars,superb,9,High
PC,Children of Morta Review,great,8,High
PS4,AI: The Somnium Files Review - Eyes Love You,great,8,High
PC,"Borderlands 3 Review - Six Sirens, One God-Queen",great,8,High
PS4,eFootball PES 2020 Review - A Winning Formula,superb,9,High
NS,Daemon X Machina Review - Tinker Toys,good,7,Medium
"XONE, PC",Gears 5 Review - A Beneficial Mutation,good,7,Medium
"PC, PS4, NS",Divinity: Original Sin 2 Review - Switch Definitive Edition Update,essential,1,Very Low
PC,Creature In The Well Review - Well-Placed Shot,great,8,High
PS4,Monster Hunter World: Iceborne Review - A Very Ice Time,superb,9,High
"PS4, PC",Knights And Bikes Review - Double Trouble,great,8,High
PS4,Erica Review - Movie Night,great,8,High
"PS4, XONE, PC",Apex Legends Review -- A New Battle Royale Titan,superb,9,High
PS4,The Dark Pictures: Man of Medan Review - Drown And Out,fair,6,Medium
PC,Blair Witch (Game) Review - Prying Eyes,mediocre,5,Low
PS4,Catherine: Full Body Review - One Step Closer To The Edge,great,8,High
NS,Astral Chain Review - Anime Police Academy,great,8,High
PC,Telling Lies Review - Watch Carefully,good,7,Medium
PC,Ancestors: The Humankind Odyssey Review - Devolution Of The Species,poor,4,Low
"XONE, PS4",Control Review - An Action-Packed Paranormal Portal,great,8,High
"XONE, PC, PS4",Life Is Strange 2: Episode 4 Review - Gotta Have Faith,good,7,Medium
PC,Remnant: From the Ashes Review - In My Sights,good,7,Medium
PC,Wolfenstein: Youngblood Review - Family Matters,great,8,High
PS4,Kill La Kill The Game: IF Review - Don't Lose Your Way,good,7,Medium
"PC, NS",Etherborn Review,fair,6,Medium
PC,Warframe Review (2019) - Space Oddity,great,8,High
NS,Marvel Ultimate Alliance 3: The Black Order Review - Superpowered,great,8,High
PC,Night Call Review - The Full Fare,great,8,High
"PC, PS4",Final Fantasy XIV: Shadowbringers Review - Dancer In The Dark,superb,9,High
NS,Dragon Quest Builders 2 Review - Building On A Strong Foundation,great,8,High
PS4,SolSeraph Review - Play God,fair,6,Medium
PC,198X Review,mediocre,5,Low
PC,Weedcraft Inc Review - I Got 5 On It,mediocre,5,Low
PC,They Are Billions Review - Everyone's Invited,great,8,High
PS4,Sea Of Solitude Review - Adrift,good,7,Medium
NS,Super Mario Maker 2 Review - Make My Day,great,8,High
NS,Bloodstained: Ritual Of The Night Nintendo Switch Review - Less Lively,fair,6,Medium
"PC, PS4",Bloodstained: Ritual Of The Night Review - Not Dead Yet,great,8,High
PS4,Samurai Shodown Review - Life Or Death,great,8,High
PC,F1 2019 Review - Pole Position,superb,9,High
PS4,Judgment Review - Like A Tiger,good,7,Medium
PS4,The Sinking City Review - Draining,bad,3,Very Low
PC,Imperator: Rome Review,mediocre,5,Low
PC,Mordhau Review - Medieval Times,great,8,High
NS,Cadence Of Hyrule Review - Groove is in the Heart,great,8,High
"PC, NS",My Friend Pedro Review - Vote For Pedro,good,7,Medium
PS4,Crash Team Racing Nitro-Fueled Review - Back With A Bang,great,8,High
PC,Outer Wilds Review - Extraterrestrial Investigation,superb,9,High
"NS, PC",Octopath Traveler Review: Divide And Conquer,great,8,High
3DS,Persona Q2 Review - You Oughta Be In Pictures,good,7,Medium
"PC, PS4",Observation Review - Space Madness,great,8,High
"PS4, PC",Dauntless Review - Whole New World,good,7,Medium
PC,Void Bastards Review - Genres Collide,great,8,High
PS4,Trover Saves The Universe Review - Couch Potatoes,good,7,Medium
PS4,Blood and Truth Review - On The Move,good,7,Medium
"PC, XONE",Pathologic 2 Review - The Big Sick,mediocre,5,Low
PC,Anno 1800 Review - The Prettiest Spreadsheet,good,7,Medium
"PC, XONE, PS4, NS",Mortal Kombat 11 Review - The Right Fight,superb,9,High
PC,Total War: Three Kingdoms Review - The New Romantics,great,8,High
NS,Travis Strikes Again: No More Heroes Review - Short On Heroics,fair,6,Medium
"PS4, XONE, PC",A Plague Tale: Innocence Review - Of Rats And Children,great,8,High
XONE,Layers of Fear 2 Review - Ghost Ship,mediocre,5,Low
PS4,Everybody's Golf VR Review - A Short Date To The Golf Course,fair,6,Medium
"XONE, PS4",Team Sonic Racing Review - Gotta Go-Kart Fast,good,7,Medium
"PC, PS4",Metro Exodus Review - Brand New Days,great,8,High
PC,Whispers of a Machine Review - Hushed Greatness,good,7,Medium
PS4,"Darkwood Review - Welcome To The Forest, Meat",superb,9,High
PC,Rage 2 Review - Wasted Land,fair,6,Medium
"PS4, PC, XONE",Life Is Strange 2: Episode 3 Review - Choosing Sides,great,8,High
PC,World War Z Review - Zombie Zeitgeist,fair,6,Medium
XONE,Giga Wrecker Alt Review - Hunk Of Junk,poor,4,Low
PS4,Yakuza Kiwami 2 Review - Like A Tiger,great,8,High
PS4,"Days Gone Review - Farewell, Oregon",mediocre,5,Low
NS,BoxBoy! + BoxGirl! Review - Hip To Be Square,good,7,Medium
NS,SteamWorld Quest Review - Letting Off Some Steam,good,7,Medium
PC,Katana Zero Review - Slow-Motion For Me,great,8,High
"XONE, PC, NS",Cuphead Review - Rise To The Challenge,great,8,High
PS4,Falcon Age Review - High Flying,great,8,High
PC,Pathway Review - Pulp Friction,fair,6,Medium
"PC, PS4",Heaven's Vault Review - Come Sail Away,fair,6,Medium
"PS4, XONE, NS, PC",My Time At Portia Review - Crop Circles,fair,6,Medium
"PS4, PC, XONE, NS",Hellblade: Senua's Sacrifice Review - The Power Of Empathy,great,8,High
PS4,Zanki Zero: Last Beginning Review - Attack Of The Clones,fair,6,Medium
PS4,MLB The Show 19 Review - Bases Loaded,superb,9,High
PC,Tropico 6 Review - World Stage,great,8,High
"PC, XONE, PS4",The Division 2 Review - National Treasure,superb,9,High
PC,The World Next Door Review - Anime Angst,fair,6,Medium
PC,"Operencia: The Stolen Sun Review - A Journey Far, Far Away",great,8,High
PS4,Sekiro: Shadows Die Twice Review - Steel Yourself,superb,9,High
PC,The Walking Dead: The Final Season Episode 4 Review,superb,9,High
NS,Yoshi's Crafted World Review - Imagination,great,8,High
PC,Hypnospace Outlaw Review - Weird World Web,great,8,High
"PC, NS",Baba is You Review - Game-Changer,good,7,Medium
PC,Ethereal Review - Stay In Your Lane,good,7,Medium
PS4,Left Alive Review - No Will To Survive,bad,3,Very Low
PC,Objects In Space Review - Adrift,great,8,High
XONE,Devil May Cry 5 Review - From Zero To Nero,superb,9,High
PS4,ToeJam & Earl: Back In The Groove Review - The Funk-Soul Brothers,mediocre,5,Low
NS,Assault Android Cactus+ Review - Robots Rock,superb,9,High
"PC, NS",Ape Out Review - Guerrilla Gorilla,good,7,Medium
3DS,Kirby's Extra Epic Yarn Review - All Stitched Up,superb,9,High
PS4,Dead Or Alive 6 Review - Combat Ready,good,7,Medium
"PC, XONE, PS4",The Occupation Review - On The Clock,great,8,High
"XONE, PC, PS4",Far Cry: New Dawn Review - Duct Tape Apocalypse,fair,6,Medium
PC,Civilization 6: Gathering Storm Review - Weather The Storm,superb,9,High
PC,Eastshade Review - A Brush With Nature,superb,9,High
PS4,Trials Rising Review - It's A Gas,good,7,Medium
PC,Devotion Review - House Of Horrors,superb,9,High
"PC, XONE, PS4",Anthem Review - Two Halves,fair,6,Medium
NS,Tetris 99 Review - Embrace The Chaos,great,8,High
XONE,Crackdown 3 Review - Man Of Steel,mediocre,5,Low
"PC, XONE, PS4",Jump Force Review - Shonen Through And Through,good,7,Medium
3DS,Yo-kai Watch 3 Review - Tokyo To Texas,fair,6,Medium
"PS4, PC",Yakuza Kiwami Review - Back In Action,great,8,High
"PS4, PC",God Eater 3 Review - Aragami Hunter,fair,6,Medium
PC,Astroneer Review - New Frontiers,fair,6,Medium
NS,Dragon Marked for Death Review - Dates With Death,good,7,Medium
PC,Sunless Skies Review - British Steam Power,great,8,High
NS,Wargroove Review - The Doggos Of War,great,8,High
3DS,Etrian Odyssey Nexus Review - Where All Paths Cross,great,8,High
PC,Jon Shafer's At The Gates Review - Fertile Soil,good,7,Medium
"PS4, PC",The Hong Kong Massacre Review - I Know Gun-Fu,good,7,Medium
"PC, PS4, NS",Downwell Review - Polished Boots,great,8,High
PC,Mage's Initiation: Reign Of The Elements Review - VGA Heyday,fair,6,Medium
"XONE, PS4","Kingdom Hearts 3 Review - Clear Eyes, Full Hearts",great,8,High
"PC, NS",Pikuniku Review - Delicious Morsel,great,8,High
XONE,Genesis Alpha One Review - Drifting Without Direction,poor,4,Low
"XONE, PC, PS4",Resident Evil 2 Review - RE-vived Nightmares,superb,9,High
"PS4, XONE, PC",Life Is Strange 2: Episode 2 Review - With Great Power,great,8,High
3DS,Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey Review,great,8,High
PS4,The Walking Dead: The Final Season Episode 3 Review,great,8,High
PS4,YIIK: A Postmodern RPG Review - A Bit More Hipster,mediocre,5,Low
NS,Double Cross Review - Combat Woes,fair,6,Medium
PS4,Vane Review - In Vain,mediocre,5,Low
PC,The Eternal Castle Remastered Review - Vivid Flashbacks,great,8,High
NS,"New Super Mario Bros. U Deluxe Review - It's-A-Me, Again!",good,7,Medium
"XONE, PC",Below Review - Deep Down,fair,6,Medium
NS,"Bury Me, My Love Review - Trials And Tribulations",great,8,High
NS,Battle Princess Madelyn Review - Halfway There,fair,6,Medium
NS,Super Smash Bros. Ultimate Review - Me And You And Everyone We Know,superb,9,High
PC,Gris Review - Seeing In Color,superb,9,High
"PC, XONE, PS4, NS",Monster Boy And The Cursed Kingdom Review - Fit For A King,great,8,High
"PC, PS4",Thronebreaker: The Witcher Tales Review - Queen Of Hearts,superb,9,High
"PC, PS4, XONE, NS",Desert Child Review - Burning Fuel,mediocre,5,Low
PS4,Earth Defense Force 5 Review - Another Bug Hunt,great,8,High
"XONE, PC",Ashen Review - Relationship Souls,superb,9,High
PC,Artifact Review - Play Your Cards Right,great,8,High
PC,Just Cause 4 Review - Mildly Wild Ride,fair,6,Medium
PS4,Big Bash Boom Review: Stiff Wickets,mediocre,5,Low
PC,Cosmic Top Secret Review - Declassified,good,7,Medium
PS4,Darksiders 3 Review - Soils-Like,poor,4,Low
PS4,Persona 5: Dancing In Starlight Review - The Shujin Shuffle,great,8,High
PS4,Persona 3: Dancing In Moonlight Review - A Spotlight In The Dark Hour,superb,9,High
PS4,Beat Saber Review - Bass-Boosted,great,8,High
"PC, PS4, NS",Nidhogg 2 Review - En Garde,good,7,Medium
"PS4, PC, XONE",Hitman 2 Review - A Boy And His Briefcase,great,8,High
"PC, PS4, XONE",Fallout 76 Review - No Humans Allowed,poor,4,Low
PC,Underworld Ascendant Review: Going Under,terrible,2,Very Low
NS,Taiko no Tatsujin: Drum 'n' Fun / Drum Session Review - Rhythm Party,good,7,Medium
PC,Battlefield 5 Review - Breaking Through The Front Lines,great,8,High
"NS, NS",Pokemon Let's Go Pikachu And Let's Go Eevee Review,great,8,High
PC,Overkill's The Walking Dead Review - DOA,bad,3,Very Low
PS4,Spyro Reignited Trilogy Review - Fan The Flames,great,8,High
"PS4, XONE, PC",11-11: Memories Retold Review - Modernist Warfare,good,7,Medium
"XONE, NS",Full Metal Furies Review - Puzzle-Brawler,great,8,High
"PC, PS4, XONE, NS",Sinner: Sacrifice for Redemption Review - Trials and Tribulations,fair,6,Medium
PS4,The Quiet Man Review - Silence Is Not Golden,terrible,2,Very Low
PC,Cities: Skylines - Industries Review - The Up And Up,good,7,Medium
NS,SNK 40th Anniversary Collection Review - It Belongs In A Museum,great,8,High
PS4,Deracine Review - Elementary,mediocre,5,Low
PC,Football Manager 2019 Review - A Winning Strategy,great,8,High
"PC, PS4, XONE",Call Of Cthulhu Review - Squid Logic,mediocre,5,Low
NS,Diablo 3: Eternal Collection Switch Review - Better With Age,superb,9,High
PC,Gwent Review - Heart Of The Cards,great,8,High
NS,Black Bird Review - Featherweight,mediocre,5,Low
"PC, PS4, NS",Transistor Review,great,8,High
"PS4, XONE",My Hero One's Justice Review - In Their Own Quirky Ways,fair,6,Medium
PS4,WWE 2K19 Review: A Step In The Right Direction,good,7,Medium
"PC, MAC",Return Of The Obra Dinn Review: The Good Ship,superb,9,High
XONE,NBA 2K Playgrounds 2 Review - Ball Another Day,mediocre,5,Low
PS4,"Call Of Duty: Black Ops 4 Review - Zombies, Blackout, Multiplayer",great,8,High
"AND, IOS",Reigns: Game Of Thrones Review: A Westerosi Romp,great,8,High
"PC, XONE, PS4",SoulCalibur 6 Review - The New Legend,great,8,High
PS4,Lego DC Super-Villains Review: Mediocre Mischief-Makers,mediocre,5,Low
"NS, NS",Dark Souls Remastered Switch Review: A Very Special Revisit,great,8,High
"NS, XONE, PS4",Starlink: Battle for Atlas Review - Endless Space,good,7,Medium
"PC, NS",Armello Review - Nintendo Switch Update,great,8,High
3DS,Luigi's Mansion Review - Old Haunts,good,7,Medium
"PS4, XONE, PC, NS",The Missing Review - Lost And Found,great,8,High
"XONE, PS3, NS",Child of Light Review,great,8,High
"PC, PS4, NS",Chasm Review: The Battle Below,great,8,High
NS,Super Mario Party Review - Test Those Friendships,good,7,Medium
PC,"World of Warcraft: Battle For Azeroth - Come One, Come All",good,7,Medium
"PC, PS4, XONE",My Memory of Us Review - War Has Changed,mediocre,5,Low
NS,FIFA 19 Nintendo Switch Review - Offside,mediocre,5,Low
PC,Pathfinder: Kingmaker Review - The Classics,fair,6,Medium
"PS4, XONE, PC",Assassin's Creed Odyssey Review - Glory Of Sparta,great,8,High
"XONE, PS4",FIFA 19 Review - Golazo,good,7,Medium
"PC, XONE","Forza Horizon 4 Review - Shifting Gears, Shifting Seasons",superb,9,High
"PS4, PC, XONE",Destiny 2: Forsaken Review - A Grindhouse,great,8,High
"PC, NS",Cities: Skylines Review - In The Zone,great,8,High
"NS, XONE, PS4",Mega Man 11 Review - An Uneven Retro Romp,good,7,Medium
NS,Freedom Planet Review -- Speedy Ambitions,good,7,Medium
