Console,GameName,Review,Score,Score_Category
XBOX,MLB Slugfest 2004 Review,great,8,High
PS2,MLB Slugfest 2004 Review,great,8,High
PS2,MLB 2004 Review,good,7,Medium
XBOX,Rayman 3: Hoodlum Havoc Review,great,8,High
PS2,The King of Route 66 Review,fair,6,Medium
GC,MLB Slugfest 2004 Review,great,8,High
PC,Gods and Generals Review,abysmal,1,Very Low
PC,Baseball Mogul 2004 Review,fair,6,Medium
PC,Heroes of Might and Magic IV: Winds of War Review,fair,6,Medium
XBOX,Colin McRae Rally 3 Review,great,8,High
PC,Praetorians Review,great,8,High
PS2,High Heat Major League Baseball 2004 Review,great,8,High
GC,Tony Hawk's Pro Skater 4 Review,superb,9,High
XBOX,All-Star Baseball 2004 Review,great,8,High
GBA,All-Star Baseball 2004 Review,good,7,Medium
PS2,All-Star Baseball 2004 Review,great,8,High
GC,All-Star Baseball 2004 Review,great,8,High
PC,IL-2 Sturmovik: Forgotten Battles Review,great,8,High
PC,Green Berets Review,fair,6,Medium
PC,Waterloo: Napoleon's Last Battle Review,good,7,Medium
PC,The Messenger Review,mediocre,5,Low
PC,Timescape: Journey to Pompeii Review,fair,6,Medium
PC,Out of the Park Baseball 5 Review,great,8,High
PS2,Sky Odyssey Review,great,8,High
PS2,Winning Eleven 6 International Review,superb,9,High
GBA,Pokemon Ruby Review,great,8,High
PC,IGI 2: Covert Strike Review,mediocre,5,Low
N64,Jeremy McGrath Supercross 2000 Review,mediocre,5,Low
PS2,My Street Review,poor,4,Low
PS2,Zone of the Enders: The 2nd Runner Review,great,8,High
PC,Half-Life: Blue Shift Review,good,7,Medium
GC,Rayman 3: Hoodlum Havoc Review,great,8,High
XBOX,Shenmue II Review,good,7,Medium
GC,Evolution Snowboarding Review,mediocre,5,Low
PS,Army Men: World War Review,mediocre,5,Low
PC,World Of Outlaws: Sprint Cars Review,good,7,Medium
PC,Master of Orion III Review,fair,6,Medium
PC,The Gladiators: Galactic Circus Games Review,fair,6,Medium
PS2,Everblue 2 Review,fair,6,Medium
PS2,Metal Gear Solid 2: Substance Review,good,7,Medium
PS2,Tenchu: Wrath of Heaven Review,great,8,High
XBOX,The Terminator: Dawn of Fate Review,fair,6,Medium
PC,Freelancer Review,great,8,High
GC,Tom Clancy's Ghost Recon Review,mediocre,5,Low
XBOX,Indiana Jones and the Emperor's Tomb Review,fair,6,Medium
XBOX,Kung Fu Chaos Review,fair,6,Medium
PC,Post Mortem Review,fair,6,Medium
PC,Harbinger Review,poor,4,Low
XBOX,Apex Review,good,7,Medium
PS2,Disaster Report Review,fair,6,Medium
GBA,The Invincible Iron Man Review,good,7,Medium
PS2,Breath of Fire: Dragon Quarter Review,great,8,High
PC,I Was An Atomic Mutant Review,fair,6,Medium
PS2,Yu-Gi-Oh! The Duelists of the Roses Review,mediocre,5,Low
GBA,Daredevil Review,mediocre,5,Low
PS2,Xenosaga Episode I: Der Wille zur Macht Review,great,8,High
GBA,The Sum of All Fears Review,fair,6,Medium
PS2,World Tour Soccer 2003 Review,good,7,Medium
PS2,Fisherman's Challenge Review,good,7,Medium
PS2,Taiko no Tatsujin Import Review,good,7,Medium
PS2,P.T.O. IV Review,fair,6,Medium
XBOX,Metal Dungeon Review,bad,3,Very Low
PS2,EverQuest Online Adventures Review,good,7,Medium
PS2,Dark Cloud 2 Review,superb,9,High
PS2,Fighter Maker 2 Review,poor,4,Low
PS2,HyperSonic.Xtreme Review,bad,3,Very Low
XBOX,Vexx Review,fair,6,Medium
XBOX,Capcom vs. SNK 2 EO Review,great,8,High
PS2,Dynasty Warriors 3: Xtreme Legends Review,good,7,Medium
GC,Frogger Beyond Review,fair,6,Medium
GC,The Sum of All Fears Review,terrible,2,Very Low
PC,Command & Conquer: Generals Review,great,8,High
GC,Summoner: A Goddess Reborn Review,good,7,Medium
PS2,Vexx Review,fair,6,Medium
GBA,Car Battler Joe Review,great,8,High
PS2,Galerians: Ash Review,mediocre,5,Low
PS2,.hack infection part 1 Review,good,7,Medium
PS2,Pride FC Review,great,8,High
PC,Battlefield 1942: The Road to Rome Review,great,8,High
PC,NASCAR Racing 2003 Season Review,great,8,High
GC,Black & Bruised Review,fair,6,Medium
PS2,Black & Bruised Review,fair,6,Medium
PS2,Guilty Gear X2 Review,great,8,High
GBA,The Mummy Review,good,7,Medium
GBA,F1 2002 Review,good,7,Medium
PC,The Mystery of the Mummy Review,mediocre,5,Low
GBA,Medal of Honor: Underground Review,mediocre,5,Low
PC,Unreal II: The Awakening Review,good,7,Medium
GBA,Disney Sports Soccer Review,fair,6,Medium
PS2,Devil May Cry 2 Review,fair,6,Medium
PC,KAO the Kangaroo Review,good,7,Medium
XBOX,Battle Engine Aquila Review,fair,6,Medium
GBA,Hardcore Pinball Review,good,7,Medium
PC,Highland Warriors Review,mediocre,5,Low
GBA,Sea Trader: Rise of Taipan Review,good,7,Medium
PS2,Battle Engine Aquila Review,fair,6,Medium
GC,Skies of Arcadia Legends Review,good,7,Medium
PS2,Cabela's Big Game Hunter Review,mediocre,5,Low
GBA,Minority Report: Everybody Runs Review,poor,4,Low
GBA,Worms World Party Review,fair,6,Medium
